time_ms,base,shoulder,elbow,palm,wrist,gripper,obj_x,obj_y,obj_area,cell,err_x,err_y,approach_mode,free_mode
1778260649656,2366,1780,2022,3065,3207,2995,,,,,,,0,1
1778260649713,2366,1777,2022,3065,3207,2995,,,,,,,0,1
1778260649770,2366,1781,2022,3065,3207,2995,,,,,,,0,1
1778260649828,2366,1784,2022,3065,3207,2995,,,,,,,0,1
1778260649913,2366,1787,2019,3065,3207,2995,,,,,,,0,1
1778260649994,2366,1784,2012,3065,3206,2995,,,,,,,0,1
1778260650076,2366,1786,2013,3065,3206,2995,,,,,,,0,1
1778260650135,2366,1787,2014,3065,3206,2995,,,,,,,0,1
1778260650207,2366,1787,2016,3065,3206,2995,,,,,,,0,1
1778260650273,2366,1786,2014,3065,3206,2995,,,,,,,0,1
1778260650341,2367,1786,2013,3065,3206,2995,,,,,,,0,1
1778260650431,2368,1786,2013,3065,3206,2995,,,,,,,0,1
1778260650485,2368,1786,2013,3065,3206,2995,,,,,,,0,1
1778260650542,2368,1785,2013,3065,3206,2995,,,,,,,0,1
1778260650600,2369,1784,2012,3065,3205,2995,,,,,,,0,1
1778260650657,2370,1779,2014,3065,3205,2995,,,,,,,0,1
1778260650709,2372,1776,2012,3065,3205,2995,,,,,,,0,1
1778260650768,2372,1775,2012,3065,3204,2995,,,,,,,0,1
1778260650832,2373,1775,2012,3065,3201,2995,,,,,,,0,1
1778260650927,2373,1775,2010,3063,3209,2995,,,,,,,0,1
1778260651013,2374,1775,2009,3057,3210,2995,,,,,,,0,1
1778260651107,2374,1775,2005,3045,3211,2995,,,,,,,0,1
1778260651165,2374,1775,2002,3036,3211,2995,,,,,,,0,1
1778260651221,2374,1775,1999,3027,3211,2995,,,,,,,0,1
1778260651283,2374,1775,1996,3018,3211,2995,,,,,,,0,1
1778260651351,2374,1775,1994,3009,3211,2995,,,,,,,0,1
1778260651413,2374,1775,1991,3000,3211,2995,,,,,,,0,1
1778260651490,2374,1775,1989,2989,3211,2995,,,,,,,0,1
1778260651554,2374,1776,1988,2981,3211,2995,,,,,,,0,1
1778260651613,2374,1776,1986,2972,3211,2995,,,,,,,0,1
1778260651671,2374,1776,1985,2965,3211,2995,,,,,,,0,1
1778260651742,2374,1776,1985,2955,3211,2995,,,,,,,0,1
1778260651802,2374,1776,1984,2947,3211,2995,,,,,,,0,1
1778260651869,2374,1776,1984,2937,3211,2995,,,,,,,0,1
1778260651928,2374,1775,1984,2928,3211,2995,,,,,,,0,1
1778260651993,2374,1775,1984,2918,3211,2995,,,,,,,0,1
1778260652052,2374,1775,1984,2910,3211,2995,,,,,,,0,1
1778260652115,2374,1775,1984,2903,3211,2995,,,,,,,0,1
1778260652175,2374,1775,1984,2897,3211,2995,,,,,,,0,1
1778260652234,2374,1775,1984,2892,3211,2995,,,,,,,0,1
1778260652291,2374,1775,1985,2888,3211,2995,,,,,,,0,1
1778260652350,2374,1775,1987,2886,3211,2995,,,,,,,0,1
1778260652412,2374,1775,1993,2885,3211,2995,,,,,,,0,1
1778260652472,2374,1775,1995,2885,3211,2995,,,,,,,0,1
1778260652533,2374,1775,1995,2885,3210,2995,,,,,,,0,1
1778260652589,2374,1775,1994,2885,3210,2995,,,,,,,0,1
1778260652650,2374,1775,1989,2891,3210,2995,,,,,,,0,1
1778260652708,2374,1777,1987,2894,3209,2995,,,,,,,0,1
1778260652765,2374,1777,1986,2896,3209,2995,,,,,,,0,1
1778260652828,2374,1776,1986,2897,3209,2995,,,,,,,0,1
